첵제목,작가명,내용요약
(2014년 외교백서)제5장 국제사회 내 역할 확대 및 위상 제고,외교부,"외교부는 국가 간 우호증진을 위해 수교를 맺은 국가와는 10주년 단위로, 그리고 우리에게 외교적 의미가 큰 기념일에는 다양한 종합 외교행사를 개최하고 있다."
과거사정리 후속조치 연구를 위한 심포지엄,진실·화해를 위한 과거사 정리위원회,"사회복귀는 의료 치료, 심리 치료, 법률 서비스와 함께 사회 서비스를 포함하고, 만족은 희생자가 피해회복과 관련해 안도감과 만족을 얻을 수 있는 정부의 다양한 조치이다."
한국과 독일 금형산업의 노동시장과 숙련형성 비교연구,,"금형산업의 핵심 경쟁력은 숙련노동자의 기능, 기술이다. 숙련공의 기술은 현장 학습으로 전수되기 때문에 기업은 실무중심의 직업훈련제도를 도입하여 숙련공을 양성한다."
온실가스감축계획 변경에 대한 경제학적 설명요인 분석,,규제의 포획이론을 적용하면 온실가스감축계획 변경은 규제의 변경을 통한 기대수익과 계획 변경에 드는 비용에 따라 규제 수요의 강도가 결정된다.
노인 자살에 미치는 지역적 위험요인 연구,"한창수, 장보형","노인자살에 미치는 영향을 파악하기 위해 선별된 문헌들을 기반으로 정신 심리학적 요인, 생의학적 요인, 생애경험, 사회 환경적 요인, 그리고 인구학적 특성으로 요인을 분석 정리하였다. 또한 정리된 위험요인들은 연구진 및 전문가 자문을 통해 선정했으며, 시군구 단위의 자료제공여부를 고려하였다."
작은도서관 정책연구 결과 보고서,전주대학교 산학협력단,"공립작은도서관은 연계를 통한 서비스 접점이 되므로 기초지방자치단체가 직접 운영하여 협력 체제를 구성하는 것을 권장한다. 사립작은도서관의 경우 아파트 작은도서관, 개인 및 민간단체 설립 도서관, 종교시설, 새마을금고, 법인설립이 있다. 지방자치단체는 증가하는 아파트 작은도서관 운영에 대해 현황을 파악해야한다."
춘향전의 수용문화,황혜진,"바르뜨는 독자가 글쓰기의 즐거움, 텍스트를 생산하는 즐거움을 갖게 하기 위해서 독자를 소비자에서 생산자로 전환하는 관계 재정립이 필요하다고 하였다. 문학 생산자와 소비자의 명확한 구분을 없애면, 아마추어에게 쓰기의 즐거움을 알려주고 창조적 과정에 접근하도록 만들 수 있다. 개작 텍스트의 생산은 학습 주체의 쓰기 활동에 활용할 수 있으며, 이를 통해 학습 주체가 읽고 쓰는 능력인 문해력(literacy)을 얻게 하는 것이 국어교육의 목표가 되어야 한다."
규제개혁의 경제적 효과,,"의료서비스를 받기 위해 상급종합병원을 알아보던 외국인이 규제로 인해 해당 병원에 자리가 없어 다른 병원으로 가야할 경우, 국내의 다른 종합병원이나 의원보다는 비슷한 수준의 다른 국가의 병원을 물색할 것이다."
"통일의 외교안보 편익 분석 및 대주변국 통일외교 전략(대외경제정책연구원, 2014)",,"한·중은 관계개선을 위해 노력중이지만 갈등 속에 놓일 가능성이 높다. 예를 들어 해상 불법조업 문제, 탈북자 문제 등이 있고 갈등 시 해결 할 수 있는 시스템이 필요하다."
대학 교육의 질 제고를 위한 맞춤형 컨설팅 방안 연구,김기수,"사실 교과과정을 개설할 때 수요나 만족도 조사 반영이 되지 않았는데, 이번에는 장기간의 구조개혁컨설팅을 통해 교육시스템의 체제를 갖추어 대학의 발전에 큰 도움이 되었다. 또한 모든 보직자가 컨설팅에 참여하여 더욱 효과적이었다."
감사논집(제21호),,중복을'overlap'으로 넓게 정의하면 중복의 개념적 중요성이 낮아지고 사전적 의미에서 'duplication’으로 좁게 정의하면 개념이 현실을 좌우하게 된다.
통일과 법률(제19호),,유엔 실무그룹의 보고서를 따르면 북한은 268개 권고 가운데 83개 권고에 대해 수용을 거부하였고 이 중 185개 권고에 대해서는 입장을 밝히지 않았다. 이에 따라 북한은 27차 유엔 회기가 개최되기 전까지는 입장을 표명해야 한다.
KDI 북한경제리뷰 2017년 1월,,"2015년부터 정책 기조가 내수 중심으로 전환되었고, 이때부터 자강력 제일주의가 본격적으로 등장하기 시작한다. 이 때문인지 2015년 북한의 수입이 20% 가량 줄기도 했다."
民畵와 裝飾屛風,국립민속박물관,"문방도는 서책, 서안, 붓, 벼루, 종이, 고동기 등을 소재로 그린 그림이다. 정조 등 궁중을 중심으로 상류사회에서 널리 유행하였고 김홍도 등이 책가화에 뛰어났다."
저소득층 빈곤환경 실태와 자활지원 연계 방안,,"포용적 금융은 각 계층의 수요에 맞춰 상품 및 서비스 사용의 폭을 넓히려는 과정이며, 이런 접근에는 금융적 복지를 고취하기 위한 목적으로 금융 관련 교육을 행하는 것이다."
진로탐색 중심의 자유학기제 성공요인 및 지원 방안,,자유학기제 실행 시 학교 차원에서의 자체적 운영 진단 및 환류는 추후 차질 없는 자유학기제 운영을 위해 중요하다.
TPP 추진에 대한 대국민 여론(언론)조사,,"TPP 협상에 대한 이해 부족의 원인에 대한 2차례의 조사결과 정부의 홍보 부족이 가장 큰 이유이며, 전문적인 내용으로 인한 이해의 어려움 및 관심부족 등으로 나타났다."
통일 대비 여성관련 법제 연구,김영희,"모자보건법에 윤리적 적응으로 강간이나 준강간에 의한 임신, 법률상 혼인할 수 없는 혈족이나 인척간 임신만을 규정, 그 범위가 지나치게 엄격하다. 형법학자들은 낙태의 허용범위가 경제적, 사회적 적응을 인정하지 않아 현실문제해결에 불충분하며 입법론상 문제가 있고 적응요건의 판단기준이나 절차에 규정이 없는 것도 문제로 의사개인의 판단으로 가능, 실질적으론 낙태의 완전자유화가 이루어졌다고 한다."
2019년 가정폭력실태조사 연구,여성가족부,‘상호폭력’ 개념은 폭력에 대한 방어적 행동을 구분해내지 못하는 등 한계가 지적되어 이번 조사에서는 ‘상호폭력률’을 집계하지 않는 대신 가해 이유 문항을 추가하였다.
형사절차에서 헌법적 가치의 실현,한국형사정책연구원,"헌법 제12조 제4항은 변호인의 조력은 무죄추정 피의자의 신체구속의 폐해 제거, 구속 불남용을 보장한다. 효과적 변호의 요청은 입법자의 형사절차 형성의 기준이자 입법형성권의 한계이다."
소셜 미디어의 이용자 유형과 사회적 순기능.역기능,,카카오톡은 소셜게임과 서셜미디어가융합된 비지니스 모델의 성공적 사례이다. 카카오톡 계정과 게임의 연동을 통해 SNS 상 친구들과 자신의 점수 등을 공유할 수 있었으며 이러한 시스템은 사용자들이 게임에 더욱 몰입하게 만들었다. 또한 아이템을 카카오톡을 통해 주고받게 하였다.
가정 내 반복적인 학대발생과 외부 개입을 체험한 피학대 노인의 경험에 관한 질적 연구,김유진,본 연구는 노인 학대 피해자들을 효과적으로 도울 방안을 찾기 위해 학대 당하는 노인의 경험을 살펴볼 것이다. 이는 학대로 인한 부정적 영향과 사회적 비용을 최소화하고 개입 과정에도 영향을 미칠 수 있는 선제적 작업이다.
성평등 인센티브의 남성 육아휴직 사용 확대효과 : 민간부문을 중심으로,박미진,한국 남성이 쓸 수 있는 일-가정 양림 정책 중에서 배우자 출산 휴가 제도와 육아기 근로시간 단축제도가 있지만 둘 다 실증적 연구 대상이 되긴 어렵다. 대신 남성 육아 휴직은 사용자 증가 추세이고 중장기 가족 운영에 쓰이기 때문에 대상이 될만하다. 남성 육아 휴직 제도를 독려하기 위해 인센티브제 같은 제도적 발전도 있다.
KDI 북한경제리뷰 2017년 6월,,중국은 AIIB에 이사회가 아닌 실무라인에서 주요 의사결정을 하려 했다. 국제금융기구는 국책은행과 달리 모든 회원국이 의사결정에 참여하는 구조를 갖추어야 한다. 중국은 서유럽 국가들의 지적으로 이사회를 통한 의사결정 방식을 채택하게 되었다.
창조 행정을 지향하는 행정포커스,,"신고리 5·6호기 공론화위원회는 정부의 의사결정에 국민들의 참여를 제도화한 획기적인 사례였으며, 국민청원제도 역시 정부 정책에 국민들의 의견을 반영하기 때문에 국민주권 정부를 구현하려는 절차의 실질적 제도화 사례이다."
인적자원정책 인프라 진단 및 정비 방안,,국가자격은 인적자원을 관리하는데 중요하다. 국가기술자격법에 근거를 두는 국가기술자격은 19개 부처에서 208개 자격을 발급하며 교육부와 문화체육관광부에서 발급하는 자격 수가 가장 많다.
문화재사랑 통권 제115호(2014년 06월),,한반도를 인체에 비유한다면 아산은  배꼽 부위에 해당된다. 아산은 수많은 역사인물을 배출한 민족문화 발전의 요람으로 자리매김하고 있다.
구금시설 과밀수용과 수용자 인권 토론회,,피의자들의 방어권이 보장되고 법정 구속 비율이나 실형선고 증가 추세를 보면 법집행이 엄격해지는것으로 보인다. 하지만 엄격한 법집행이 반드시 올바른것이 아니며 다이버전적 조치를 염두하지 말고 선고한 형량을 엄격하게 준수해야 할것이다.
바이오 정보 수집·이용 실태조사,,"작업반은 먼저 제조업체의 프라이버시 관련 기술 원칙 준수와 기술 개발 노력을 제시했다. 통합업체와 재판매업체는 프라이버시 기술이 적용된 최종 제품을 선택해야 한다. 제조업체와 통합업체는 제품 유연성으로 고객이 요구한 시스템 적용을 해야 한다. 이에 대한 예시로 생체인식 리더기와 안티풀링, 안티탬퍼 스위치의 결합을 들 수 있다."
평화에 대한 세 가지 질문,통일연구원,"남북이 함께 할 수 있는 평화시대 시민교육은 평화, 인권, 문화적 다양성, 지속가능 한 발전 및 세계시민성이라는 다섯 개의 공통분모 위에서 진행되어야 한다. 이렇게 상호호혜적으로 구축된 한반도평화교육공동체 모형으로, 글로벌세계시민교육을 추구하는 유엔의 지속가능목표 도달에 한반도가 기여할 수 있게 된다."
"주요 산업의 중국 내 동북아국가들의 경쟁구조 분석 [제1권] : 의료, 콘텐츠, 유통 등을 중심으로",,최근 중국에 한국 PD들의 인력 진출이 활발하다. 과거 한국 PD들은 포맷 수출된 프로그램을 중국에서 제작하거나 중국 제작진에게 노하우를 전수하는 방식이었다면 최근에는 한중 합작 프로그램의 연출을 맡거나 한국 PD가 직접 연출을 맡는다.
교육광장 2016 겨울호 (Vol. 62),,사회 각층 전문가들은 기본적인 소통과 경청의 문화조성은 무엇을 하든 끈질기게 하는 경험의 제공과 학습과정을 즐길수 있을 만큼의 시간이 필요하고 이는 교사들의 긴호흡의 프로젝트 수업과 일치한다.
인도의 경제개혁 이후 노동시장의 변화와 시사점,,개혁개방정책은 2000년대 이후 더한 효과를 나타냈다. 2005~7년에는 인도 역사상 가장 높은 경제성장률을 기록하기도 했다. 물가 수준 또한 1990년대 전반에 비해 양호했다.
대한민국 명장 학점인정 방안,정향진,학점은행제의 자격 등급별 인정 학점이 적절한가에 관해 명장과 훈련전문가 모두 적당하다고 생각했다. 대신 교양 프로그램 이수 시간의 길이에 관해 서로 다른 입장이다.
한국(Korea)의 영토 외연 : 국제법적 측면,,법제처에 따르면 대한제국이 20세기 초 체결한 다자조약이 대한민국에 계속 효력이 있는지는 일제강점기와 미 군정기를 통해 한국이 행위능력은 결여되었지만 권리능력은 계속 보유하였다는 이론 구성을 했다.
국민연금 재정추계의 신뢰성 비교 검증에 관한 연구,,"신뢰구간의 상한과 하한을 이용, CPP 기금의 고갈 연도를 계산하기도 하고 asset/expenditure 비율유지를 위한 정보를 제공한다. "
정념의 인식론,"그레마스, A.J.","본질의 돌연한 현현은 보편적 적용으로 이용되나 변화, 의미가 없어도 말하기는 그대로다. 윤리적 결합은 함축, 은유이고, 조정적 주석으로 감돌아도 결말은 모호하다."
교육정책포럼 2016년 09월 (통권 279호),,과목중점형 교과교실제 운영학교의 교과교실제 운영 지속을 위해서는 신속한 선진형 전환 등교과교실제 운영학교 유형을 일원화해서 지원할 수 있는 효율적 방안 마련이 필요하다.
한국교육 제41권 제4호,,"DI가 철학적 창의성을 배양한다는 점을 인지한 Gregory와 Chapman의 차이화-하는-것은 교육실천가들이 학습자들의 다양한 요구에 부응하기 위한 철학, 즉 학습자 개개인의 수준과 특성에 맞춘다는 철학이다. 이를 영어로 할 시 Customized teaching and learning이며 우리말로 치면 학습자-개개인의-수준과-특성에-맞춘이라는 의미로 볼 수 있다. 어떠한 내용을 포함하고 여건을 조성할 지는 이제 교사들에게 달려있다."
한국의 산업단지 혁신클러스터 ODA지원전략,,"우리나라의 산업입지 정책은 최근 지역전략산업정책에 따라 업종과 지원이 분산되었다는 부정적인 평가도 있지만, 경제적 합리성에 기초하였다고 평가 된다."
글로벌 아웃소싱의 노동시장 효과 : 직업안정성을 중심으로,,"본연구는 글로벌 아웃소싱의 변화 크기가 고용에 어떤 영향을 미치는 지 알아보고, 본절은 산업연관표를 이용한 글로벌 아웃소싱의 추계방법론을 들여다보고, 지표의 적합성을 확인하려 한다."
군인 권리보호 구제체계에 대한 인권상황 실태조사,,군의 지원과 관련된 중앙관리시설은 FBZ이고 군내외에서 발생하는 문제와 의문을 해결하는 역할을 한다. 또한 FBO는 일-가정 양립이 가능하도록 지원 해야 한다.
한국의 스킬과 노동시장 성과 : 국제비교 분석을 중심으로,"반가운, 김봄이, 박동진","한국의 저학력자들의 높은 인지적 스킬이 잘난척 혹은 불평불만으로 비칠 수 있으며, 이러한 점은 인성문제로 인식되어 사업주가 부정적으로 평가할 수도 있다."
2014 KEEI 연차보고서,,본 연구의 목적은 국내 신재생에너지에 대한 사회적 수용성 수준을 파악하기 위해 지불의사액을 추정하는 것이며 방법으로는 조건부 가치 측정법(CVM)이 이용된다.  이어서 신재생에너지 선도국의 사회적 수용성 증대 정책을 분석하여 국내 신재생에너지 보급 확산을 위한 사회적 수용성 증대 방안을 도출한다.
정부의 전략적 미래연구(strategic foresight)가 당면한 7가지 도전,,각국이 환경 변화로 겪는 불확실성은 세계 각국 정부 부분의 미래연구 증가를 가져왔다. 우리나라 역시 산업경쟁력이 갈수록 떨어지는 환경 변화 겪고 있다. 정부 내 미래연구가 좀 더 활성화되는 과정에서 위에서 언급한 7가지 도전에 대한 근본적인 대안 고찰이 이루어지기를 제안한다.
대형유통업체 구매협상력의 효과분석,,"구매협상력은 구매자인 유통업체가 보다 유리한 납품조건 얻어내는 능력이다. 유통업체 시장지배력은 협상이론을 사용하고, 협상력의 크기는 거래 미성사 시의 확보할 수 있는 대안 가치에 의해 결정된다."
평화와 번영의 한반도 : 한반도 평화실현과 국제협력,성기영,대북정책 공조를 위해 한미일 협력이 필요하나 미국은 북한의 핵·미사일 도발을 받고 있으므로 한일 협력이 중요한데 일본은 한국의 중국 접근을 불편하게 여겨 잘 이루어지지 못했다.
안전보건 2014년 2월호,,"교정작업 중에는 귀마개 착용 후 방음룸에서 작업 하며 가공작업 시엔 방진구를 착용한다. 연삭기에는 보호커버를 씌우고 집진기를 설치하고 면슬링과 와이어로프 점검은 손상 여부 확인후 주기표를 부착한다. 유류·윤활유 보관장 안전걸이가 제대로 설치돼 있는지, 지정폐기물 보관표지가 부착돼 있는지 확인한다. 쾌적한 작업환경은 안전사고 사전 예방에 도움이 된다."
13년~14년 국어 발전과 보전에 관한 시책 및 시행 결과 보고서,문화체육관광부,외국어로 한국어를 학습하는 사람의 이해를 돕기위해 보조 도구로 멀티미디어 자료를 활용하는 것은 매우 효과적이다. 이에 멀티미디어 자료를 구축하고 한국어 기초사전을 제공하여 제약없는 교육 환경을 조성했다는 점에서 의의가 있다.
"대학, 인권을 만나다 : 2017년 제3차 한국인권교육포럼 : 2017년 제2차 인권교육연구중심대학협의회",,"대학별 조정위원 제도의 의미를 파악하기 위해, 옴부즈퍼슨 사무소를 예로 들 수 있다. 이들은 넓은 의미의 인권문제를 다루며 학생들의 삶의 질을 높이고, 바람직한 연구환경을 제공하려 노력하다. 해결하기에 적절하지 않은 문제가 접수된 경우에도 상담조사자와 단과대학별 조정위원이 최선의 해결을 위해 역할을 분담하고 협력하기도 한다."
[다부처 관련 정책현황조사] 식품 인증 표시,,"식품의약품안전처, 농림수산식품부, 해양수산부에서 총 37종의 식품 인증·표시 제도를 운용하고 있다."
KDI 북한경제리뷰 2015년 5월,,최근 미국은 대북제재 강화를 추진하고 있다. ‘소니영화사 해킹’ 사건을 미국적 가치를 훼손하는 위협으로 여긴 미국은 이후 여러 차례 의지를 천명하고 오바마 대통령은 신년국정연설에서 의회에 사이버 안보 강화 법안 통과를 촉구하였다.
예술소비환경 및 특징 분석을 통한 예술시장 활성화 방안 연구,,"클래식 분야에서도 달력, 피아노, 여러 상품들, 공연 MD 등을 내놓고 있다.  대중음악 시장은 예술소비 시장의 중요성을 일찍 깨닫고 다양한 품목을 판매하고 있다."
에너지 포커스 : 2019년 봄호,,"한국은 2000년대 이후 새로운 대기오염 문제를 겪고 있으며, 특히 2015년 이후에 나타난 고농도 미세먼지는 국민의 삶을 위협할 정도로 심각한 수준이다."
"주요 산업의 중국 내 동북아국가들의 경쟁구조 분석 제1권 : 주요 제조업종(환경설비, 식품, 가전)의 경쟁구조 분석",,"2005년에서 2013년 사이 중국의 동식물성유지 제품 수입 규모는 3배 이상 증가하였고, 또한 유제품, 제과 및 베이커리, 주류 제품은 7배 이상 폭증하여 중국 가공식품 수입을 이끌었다."
무역개방화와 제조업부문의 변화,南相烈,"개방화는 국내, 해외시장을 위한 생산 구별이 없는 상품을 의미한다. 또 서비스의 규모와 국제자본 이동이 증가하고, 기술의 확산을 통해 국가간 상호의존도가 높아진다. 개방화는 소비와 투자의 폭을 넓히고 비용을 낮추고 경제 성장과 후생수준을 향상시키나, 경쟁 심화와 국내상대가격 변화에 따른 대응과 구조변화를 요구한다."
중소기업의 인권경영 실태조사 및 법령제도 개선방안 연구,,대기업 위주의 기존 인권경영 조사는 중소기업의 특수성과 규모 차이를 미반영했기에 부적합하다. 따라서 인권경영실태 조사를 통해 적절한 인권경영 방법론과 정책을 제시해야 한다.
블록체인의 미래 : 2018년 기술영향평가 결과보고,,블록체인상에서는 광고가 아니어도 수익을 얻을 수 있어 양질의 콘텐츠가 생산될 수 있다. 하지만 수익을 위해 자극적인 저질 콘텐츠를 유통시킬 수도 있다. 막기도 힘들다.
(2014-23)인문정책연구총서_창의적 문제 해결을 위한 지식융합적 고전 교육 프로그램 개발-동서양 철학 고전 모델을 중심으로,,니체는 형벌 제도가 사람들의 뇌리에 박혀 사회 통합적 인간을 생성한다고 생각했다. 이성적이고 도덕적인 인간은 사회의 규율에 잘 따르는 이상향을 만들어 지키게 했지만 이는 실상 형벌의 공포와 개인이 순응하는 하나의 방식에 불과하다.
교통기반형 도시재생사업 추진방안 연구,,"교통기반형 도시재생사업을 추진할 계획을 끌어내고 이를 적용할 대상지를 선택했는데 지방 중소도시에 낙후도가 심한 지역, 도시재생이 필요한 지역이 많았다. 철도역은 재생 사업 난항이 예상된다. 사업 대상지로 인구 50만 명 이하 터미널, 주변 부지를 모색해 연구했다."
"패널데이터를 이용한 노인의 의료서비스 이용, 의료비 지출, 건강성과의 발달궤적 및 연령차에 관한 연구","이현숙, 염영희","의료비 지출 발달 궤적에 영향을 미치는 요인으로 성별과 연령을 들 수 있다. 초기 노인의 경우 여성이, 후기 노인의 경우 남성의 의료비 지출 증가가 빨랐다. 연령에 있어서는 의료급여 대상의 1차 연도 의료비 지출은 차이가 없었지만 시간이 지남에 따라 후기 노인의 지출이 빠르게 상승하였다."
2018년도 문화재위원회 제5차 사적분과위원회 회의록,문화재청,"경기감영은 도시 발달로 훼손되었고, 공주감영과 전라감영도 마찬가지다. 강원감영은 원형지가 있어 복원 중에 있다. 경상감영은 원형지와 건물이 가장 잘 보존된 상황이다. "
금융정보화 현황 및 과제,금융정보화추진분과위원회 사무국,"연대를 구분하지 못하여 컴퓨터 자체의 장애, 연산오류 발생 등을  Millennium Bug나 Y2K문제라고 불린다. 2000년부터 컴퓨터 작동이 중단되거나 업무처리가 마비되는 가능성을 대비해야하나 컴퓨터 자체의 복잡성으로 인해 사전 판단하기는 어렵다. 이를 대비하는 추세는 대응작업을 마친 뒤 테스트 기간을 연장하여 실시하면서 문제를 해결하는 것이다. "
역외탈세의 유형분석과 법적 쟁점,,법에 정의된 불법 행위는 아니나 국내 세제의 집행 범위 밖에 있어 조세공평의 원칙을 해칠 우려가 있는 역외 탈세를 방지하는 절차와 기준 마련이 필요하다.    
1998년도 금융정보화 추진현황,금융정보화추진분과위원회 사무국,"은행공동 추진사업으로는 전자화폐 개발을 통한 기존의 신용, 직불 카드의 통합과 시스템 구축이 있으며 전자매체를 통한 전자교환제도 또한 추진하고 있다."
통상법률 (통권 제135호),,clean hand가 적용된 경우 자국 공기업이 위반된 원권행위를 통해 외국투자가와 계약을 체결한 상황에서 도입국은 관할을 부인하기 위해 해당 계약이 무효라고 주장했다. 법정은 적용을 거부할 수 없음을 밝혔고 불법을 스스로 원용할 수 없다는 의미로 보았다.
중저기술 산업의 혁신특성 분석과 발전방향,,"우리나라는 과거 중저기술산업 중심의 추격형 경제성장과, 최근 하이테크 제조업 중심의 선도형 모두에서 중저기술산업에 대한 육성에는 소홀했다. "
해외 주요국의 지식재산 법제도 및 정책동향 조사분석,,"일본 정부는 색채, 소리와 같은 새로운 유형의 상표에 대한 기업의 요구 및 국제적 흐름을 반영하여 상표제도소위원회에서 관련 내용을 검토하는 등의 대응을 하고 있다. "
공공미술 국제 컨퍼런스 자료집,한국문화예술위원회,밴쿠버와 샌프란시스코 모두 미술 작품의 유지보수를 위한 예산이 부족하다는 문제를 안고 있다.
영국의 기존 유 · 무선 음성서비스 동향,,시민들이 조금만 에티켓을 지키고 관람한다면 더 행복하고 소중한 시간이 될 것으로 생각한다.
"제6회 국가수준 학업성취도 평가와 대학수학능력시험 자료 분석 심포지엄 : 제1주제 학력격차와 기초학력 향상, 제3주제 학교 특성과 학업성취",,"진단 정보는 유사한 학교와 비교한 상대적 결과를 제공하므로, 비교 대상의 유형화는 하위요소별 진단 목적 및 결과 해석과 연관이 높다고 할 수 있습니다. 유형화 기준에 따라 프로파일 분석 결과가 달라질 수 있서 유사 학교 분류 기준이 중요합니다."
일명 ´보이스피싱´ 범죄에 가담한 대포통장 양도인의 방조범의 인정여부,전윤경,"보이스피싱 범죄 조직은 철저한 점조직으로 구성돼 있으므로, 다른 가담자에 대해 알지 못한다는 이유로 공범성을 기각해서는 안 된다."
독일통일 이후 동서독 주민 의식변화 분석 1990~2010,통일부,만약 서독도 시민들의 노후가 안정 된다면 멋진 미래가 되겠지만 이러한 희망은 매우 적다. 그 이유는 시민들이 자신들의 이익과 요구가 경제 발전이 된다는 것을 잘 모르기 때문이다.
정부연구개발사업의 기획시스템 개선 방안 -R&D(연구개발) 아키텍쳐를 중심으로-,,"R&D사업의 범위와 생산성은 역U자 관계가 있어서 어떤 형태로든 최적의 범위가 존재한다. 자연과학적 관점은 자연적 종, 사회과학적 관점은 조직적 단일성을 기준으로 대상의 경계를 형성하지만 선험적으로 결정은 어렵다."
교육정책포럼 2015년 06월 (통권 264호),,"스마트 방식은 기존 200년간 산업경제 시대 지식전달 방식을 변화시킬 수도 있다. 의사소통, 정보 접근 공유 및 기록 생산방식 대변혁으로 교육의 본질 고찰과 새로운 가치와 생태계를 만들어 낼 수도 있다."
호주의 보육·유아교육 정책 동향 : 세계육아정책동향시리즈 13,,"호주의 영유아 관련 정책을 보면  보육 부분은 연방정부중심으로 추진하고, 유아교육의 경우에는 지방정부가 대부분의 통제 권한을 가지고 있으며, 보육시설의 인가 및 지도·감독은 주정부에서 담당하고 있다."
인구영향평가체계 구축과 운영 : 인구정책 평가 연구의 현황과 과제,김종훈,"선진국들은 저출산 문제에 대하여 간접적으로 접근한다. 선진국의 저출산 대응 정책은 복지정책과 성격이 유사한데, 출산율 상승에 기여한다는 확답은 할 수 없다."
「안전혁신 마스터플랜」 기본방향 및 주요 해외사례,,"예산이 부족하면 부족한대로 민간부분, NGO 등 다른 기관들과 협력해 나가며 변화를 이끌어야 한다."
FTA 분석을 위한 DBMS 구현과 지표 개발 연구,,"표를 보면 호주, 캐나다는 수출과 수입의 품목코드 자릿수가 다르고, 태국과 인도네시아는 자릿수가 바뀌었다. 필리핀과 EU의 경우 서로 다른 코드들이 함께 있다."
전통지식 관련 국제적 분쟁양태 및 효과적 대응을 위한 연구,,"2004년 에티오피아 생물다양성보전연구소와 농업연구기구, 네덜란드 헬스앤퍼포먼스푸드인터네셔널(HPFI)이 테프 재배와 개발에 대한 ABS 협정을 맺었다. 테프는 인제라에 사용되는 곡물로 에티오피아에서 가장 중요한 곡물자원이다. 가축 사료나 건축 재료로도 사용되며 글쿠텐이 없어 서구권 소비도 증가하는 추세다. HPFI는 빵, 에너지 바 등 테프로 만든 다양한 제품을 개발하고 있다."
공공 및 민간부분의 정보화를 위한 위성통신 활용방안 연구,손상영,"보편적 서비스란 음성통신을 포함한 통신서비스를 모든 사람이 어디에서든 이용 가능해야 한다. 또 지식과 정보의 격차로 이에 대한 불평등이 발생하면 안 된다. 보편적 서비스는 처음에는 주로 전화서비스였지만, 나라마다 행정통신, 경호통신을 포함하기도 했다. 그 후 기술의 발달 등으로 그 범위가 확대되고 있다. 향후, 양방향 광대역 통신서비스도 보편적 서비스에 포함될 것이다."
‘현장성의 빈곤'과 정치경제학 재생산의 위기,경제·인문사회연구회,"산업 침체와 일자리 감소로 대학이 힘들어지고 있다. 경남대의 경우, ’70년대를 거치며 경제학과에 전임교수가 최대 13명인 때가 있었으나 최근엔 폐과 기준인 최소 정원 40명에, 교수 6명으로 운영되고 대학원 과정은 거의 사라졌다. 국립대학인 창원대학교는 경제학과 대신 비지니즈학과의 경제전공 트렉 단위로 일자리가 유지되고 있다."
재정법제연구사업 이슈페이퍼,오건호,"한국은 간접세 비중이 높아 조세형평성이 낮다는 비판이 존재했으나, 점차 직접세 비중이 높아져서 개선되고 있다."
행복한 교육,교육부,2013년 3월부터 국가가 지방교육재정교부금으로 유아교육·보육비를 지원하여 만 5세 유아의 대부분이 누리과정에 의한 교육을 받고 초등학교로 진학하므로 초등학교교육과정과 누리과정이 연계될 필요가 있다.
2014 보육정책의 성과와 과제,,양육수당 수급에 따른 양육비 부담 경감 효과는 자녀의 연령에 따라 달라지며 특히 영아의 경우 효과가 크게 나타났다.
연차보고서,대외경제정책연구원,"중국 각 지역의 경제정책 방향에 따라 도시개발에 따른 신형도시화, 환경보호, 정보 인프라 구축등 정보화 추세 등과 관련된 시장기회와 리스크를 분석하여 차별화된 대응방안 마련과 시장 변화에 따른 진출 기회를 파악해야한다."
국제사회조사 참여 및 비교연구-가족변화 ․ 사회변화 국제비교,,그린버그는 정의 혹은 공정성을 자원이나 보상의 분배에 있어서 기준적인 규칙이 상응하는 것이라 규정하였고 웨이드는 사회적 정의에서 보살핌과 공정성을 핵심적 특정으로 간주하였다.
한국의 세기 뛰어넘기,권태준 지음,"연방제는 본디 다민족, 다 인종 국가에서 민족과 인종들의 정치적 자율을 보장해 주는 체제이다. 따라서 한국 같은 단일민족의 연방제는 거북한 동거가 될 가능성이 크다."
초저출산 시대 육아정책의 패러다임 전환과 향후 과제,육아정책연구소,인천 남동공단 내 전자제품 제조공장에서 발생한 화제로 안타까운 사연과 함께 9명이 숨지고 6명이 다쳤다. 근무자 중 7명은 대피하지 못하고 2명은 대피하다 추락하여 숨졌다.
국제노동브리프 2015년 2월호(Vol.13. No.2),,"역설적으로 노동시장의 역동성이 감소한다는 것은 새로운 일자리를 촉발하지는 않는 실업자 채용이 감소하고, 290만 명의 실업자 중 사용자들이 채용에 적합하다고 생각하는 이들이 점차 줄고 있다는 것을 의미한다."
바람직한 토론문화,전영우,"독립협회는 ‘독립신문’을 발행하고, ‘만국 회의 통상 규칙’을 보급하여 집회 등에 활용하게 했다. 서재필은 협성회가 주최하는 토론회를 열고 변론법을 지도하였으며 이를 통해 학생들이 민중 계몽의 한 부분을 담당하게 하였다. 토론회의 임원은 회장 1인, 정연의 2인, 좌연의 2인 등으로 구성된다. 회장은 토론의 찬반 의견을 물어 다수결로 결정하고, 찬반 의견수가 상등하면 회장의 찬반 의견으로 결정한다. 의사 결정 후 양쪽 연설의 선부에 대해 회장은 참가자들의 의견을 물어 다수결로 판정한다."
